PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Full Text Link
32247569,Emanating the specialty clinical practices in Ayurveda: Preliminary observations from an arthritis clinic and its implications,Rastogi S.,J Ayurveda Integr Med. 2021 Jan-Mar;12(1):52-57. doi: 10.1016/j.jaim.2019.09.009. Epub 2020 Apr 1.,Rastogi S,J Ayurveda Integr Med,2021,06/04/20,PMC8039344,,10.1016/j.jaim.2019.09.009,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(19)30335-3
29276113,Ayurveda and the science of aging,Rao RV.,J Ayurveda Integr Med. 2018 Jul-Sep;9(3):225-232. doi: 10.1016/j.jaim.2017.10.002. Epub 2017 Dec 21.,Rao RV,J Ayurveda Integr Med,2018,26/12/17,PMC6148064,,10.1016/j.jaim.2017.10.002,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(17)30411-4
37244779,'Obesity and arthritis' as the morbid duo: Designing and experimenting a novel strategy for weight reduction at a secondary care ayurveda -arthritis center,"Rastogi S, Pandey P, Kumar S, Verma A, R C.",J Ayurveda Integr Med. 2023 Sep-Oct;14(5):100722. doi: 10.1016/j.jaim.2023.100722. Epub 2023 May 25.,Rastogi S,J Ayurveda Integr Med,2023,27/05/23,PMC10692377,,10.1016/j.jaim.2023.100722,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(23)00038-4
35793592,Stratification of rheumatoid arthritis cohort using Ayurveda based deep phenotyping approach identifies novel genes in a GWAS,"Juyal G, Pandey A, Garcia SL, Negi S, Gupta R, Kumar U, Bhat B, Juyal RC, Thelma BK.",J Ayurveda Integr Med. 2022 Jul-Sep;13(3):100578. doi: 10.1016/j.jaim.2022.100578. Epub 2022 Jul 3.,Juyal G,J Ayurveda Integr Med,2022,06/07/22,PMC9259475,,10.1016/j.jaim.2022.100578,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(22)00037-7
34331682,Turmeric and Curcumin: From Traditional to Modern Medicine,"Akaberi M, Sahebkar A, Emami SA.",Adv Exp Med Biol. 2021;1291:15-39. doi: 10.1007/978-3-030-56153-6_2.,Akaberi M,Adv Exp Med Biol,2021,31/07/21,,,10.1007/978-3-030-56153-6_2,https://dx.doi.org/10.1007/978-3-030-56153-6_2
33967304,Extraction methods of butterfly pea (Clitoria ternatea) flower and biological activities of its phytochemicals,"Jeyaraj EJ, Lim YY, Choo WS.",J Food Sci Technol. 2021 Jun;58(6):2054-2067. doi: 10.1007/s13197-020-04745-3. Epub 2020 Sep 1.,Jeyaraj EJ,J Food Sci Technol,2021,10/05/21,PMC8076379,,10.1007/s13197-020-04745-3,https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/33967304/
33151656,Boswellia Serrata,,2020 Nov 4. LiverTox: Clinical and Research Information on Drug-Induced Liver Injury [Internet]. Bethesda (MD): National Institute of Diabetes and Digestive and Kidney Diseases; 2012–.,,LiverTox: Clinical and Research Information on Drug-Induced Liver Injury,2012,04/11/20,,,,https://www.ncbi.nlm.nih.gov/books/NBK563692
17950516,"Some phytochemical, pharmacological and toxicological properties of ginger (Zingiber officinale Roscoe): a review of recent research","Ali BH, Blunden G, Tanira MO, Nemmar A.",Food Chem Toxicol. 2008 Feb;46(2):409-20. doi: 10.1016/j.fct.2007.09.085. Epub 2007 Sep 18.,Ali BH,Food Chem Toxicol,2008,24/10/07,,,10.1016/j.fct.2007.09.085,https://linkinghub.elsevier.com/retrieve/pii/S0278-6915(07)00424-3
10680201,Ayurvedic medicine and arthritis,Chopra A.,"Rheum Dis Clin North Am. 2000 Feb;26(1):133-44, x. doi: 10.1016/s0889-857x(05)70127-7.",Chopra A,Rheum Dis Clin North Am,2000,19/02/00,,,10.1016/s0889-857x(05)70127-7,https://linkinghub.elsevier.com/retrieve/pii/S0889-857X(05)70127-7
38972279,Clinical metabolomics investigation of rheumatoid arthritis patients receiving ayurvedic whole system intervention,"Rastogi S, Verma A, Trivedi R, Shukla A, Kumar D.",J Ayurveda Integr Med. 2024 Jul-Aug;15(4):101009. doi: 10.1016/j.jaim.2024.101009. Epub 2024 Jul 6.,Rastogi S,J Ayurveda Integr Med,2024,07/07/24,PMC11264181,,10.1016/j.jaim.2024.101009,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(24)00124-4
24938440,Ayurvedic medicine for rheumatoid arthritis,"Basnyat S, Kolasinski SL.",Curr Rheumatol Rep. 2014 Aug;16(8):435. doi: 10.1007/s11926-014-0435-6.,Basnyat S,Curr Rheumatol Rep,2014,19/06/14,,,10.1007/s11926-014-0435-6,https://dx.doi.org/10.1007/s11926-014-0435-6
32201301,Safety and clinical effectiveness of Withania Somnifera (Linn.) Dunal root in human ailments,"Tandon N, Yadav SS.",J Ethnopharmacol. 2020 Jun 12;255:112768. doi: 10.1016/j.jep.2020.112768. Epub 2020 Mar 19.,Tandon N,J Ethnopharmacol,2020,24/03/20,,,10.1016/j.jep.2020.112768,https://linkinghub.elsevier.com/retrieve/pii/S0378-8741(19)33088-0
37343417,Corrigendum to 'Evaluation of anti-inflammatory potential of the multidrug herbomineral formulation in male Wistar rats against rheumatoid arthritis' [J Ayurveda Integr Med 4 (2) (2013 Apr) 86-93],"Patel SS, Shah PV.",J Ayurveda Integr Med. 2023 May-Jun;14(3):100716. doi: 10.1016/j.jaim.2023.100716. Epub 2023 Jun 19.,Patel SS,J Ayurveda Integr Med,2023,21/06/23,PMC10314228,,10.1016/j.jaim.2023.100716,https://linkinghub.elsevier.com/retrieve/pii/S0975-9476(23)00032-3
